"","Site_Name","Cluster_ID","Cluster_Location","Cluster_Location_Time","Cluster_State","Lat","Long","Elevation_mabsl","Site_Comments","Sample_ID","Start_Time_Zone","Collection_Time_Zone","Collection_Date","Year","Season","Month","Sample_Comments","d2H","d18O","d2H_Analytical_SD","d18O_Analytical_SD","WI_Analysis_Source","Project_ID","Modality"
"1","Draper","NC","NC","NC",NA,40.48665,-111.92691,1341,"","40",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-124.41,-16.48,NA,NA,"Tipple","Tipple","NC"
"2","Bluffdale","NC","NC","NC",NA,40.49048,-111.95137,1371,"","41",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.81,-16.03,NA,NA,"Tipple","Tipple","NC"
"3","Draper","NC","NC","NC",NA,40.49086,-111.87235,1455,"","39",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.02,-16.44,NA,NA,"Tipple","Tipple","NC"
"4","Riverton","NC","NC","NC",NA,40.51699,-111.96032,1381,"","42",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-113.26,-14.16,NA,NA,"Tipple","Tipple","NC"
"5","Draper","NC","NC","NC",NA,40.52439,-111.85413,1383,"","38",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-119.2,-15.83,NA,NA,"Tipple","Tipple","NC"
"6","Sandy","NC","NC","NC",NA,40.54467,-111.84183,1457,"","37",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.73,-16.15,NA,NA,"Tipple","Tipple","NC"
"7","South Jordan","NC","NC","NC",NA,40.55154,-111.94126,1359,"","43",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.81,-16.02,NA,NA,"Tipple","Tipple","NC"
"8","South Jordan","NC","NC","NC",NA,40.56427,-111.98666,1435,"","44",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.67,-16.42,NA,NA,"Tipple","Tipple","NC"
"9","West Jordan","NC","NC","NC",NA,40.60802,-111.94479,1342,"","46",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.21,-15.99,NA,NA,"Tipple","Tipple","NC"
"10","West Jordan","NC","NC","NC",NA,40.60892,-111.98609,1396,"","45",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.6,-15.92,NA,NA,"Tipple","Tipple","NC"
"11","Midvale","NC","NC","NC",NA,40.61374,-111.90334,1335,"","47",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-119.4,-15.76,NA,NA,"Tipple","Tipple","NC"
"12","Midvale","NC","NC","NC",NA,40.61859,-111.87392,1351,"","48",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.88,-15.88,NA,NA,"Tipple","Tipple","NC"
"13","Cottonwood Heights","NC","NC","NC",NA,40.61903,-111.78969,1499,"","36",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-125.58,-16.31,NA,NA,"Tipple","Tipple","NC"
"14","Taylorsville","NC","NC","NC",NA,40.65449,-111.92435,1302,"","50",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.74,-16.12,NA,NA,"Tipple","Tipple","NC"
"15","Taylorsville","NC","NC","NC",NA,40.65876,-111.98607,1376,"","52",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.29,-15.87,NA,NA,"Tipple","Tipple","NC"
"16","Murray","NC","NC","NC",NA,40.66009,-111.88734,1314,"","49",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-119.18,-15.57,NA,NA,"Tipple","Tipple","NC"
"17","Taylorsville","NC","NC","NC",NA,40.66787,-111.93943,1313,"","51",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.45,-16.26,NA,NA,"Tipple","Tipple","NC"
"18","Magna","NC","NC","NC",NA,40.69568,-112.09278,1348,"","55",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-93.47,-11.03,NA,NA,"Tipple","Tipple","NC"
"19","West Valley City","NC","NC","NC",NA,40.69608,-111.98611,1304,"","53",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.41,-16.05,NA,NA,"Tipple","Tipple","NC"
"20","West Valley City","NC","NC","NC",NA,40.69634,-112.04391,1319,"","54",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-120.4,-15.91,NA,NA,"Tipple","Tipple","NC"
"21","Salt Lake City","NC","NC","NC",NA,40.70071,-111.80205,1466,"","35",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-125.1,-16.57,NA,NA,"Tipple","Tipple","NC"
"22","Salt Lake City","NC","NC","NC",NA,40.73359,-111.85345,1351,"","34",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-124.94,-16.48,NA,NA,"Tipple","Tipple","NC"
"23","Salt Lake City","NC","NC","NC",NA,40.73373,-111.9382,1293,"","56",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.9,-16.18,NA,NA,"Tipple","Tipple","NC"
"24","Salt Lake City","NC","NC","NC",NA,40.75232,-111.85438,1377,"","33",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-124.21,-16.42,NA,NA,"Tipple","Tipple","NC"
"25","Salt Lake City","NC","NC","NC",NA,40.75994,-111.93819,1291,"","57",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.08,-16.25,NA,NA,"Tipple","Tipple","NC"
"26","Salt Lake City","NC","NC","NC",NA,40.76099,-111.93216,1289,"","58",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.98,-15.95,NA,NA,"Tipple","Tipple","NC"
"27","Salt Lake City","NC","NC","NC",NA,40.79053,-111.93658,1287,"","59",NA,NA,"29-06-12",2012,"summer","june","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.23,-16.39,NA,NA,"Tipple","Tipple","NC"
"28","Draper","NC","NC","NC",NA,40.48532,-111.88387,1475,"","86",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123,-15.96,NA,NA,"Tipple","Tipple","NC"
"29","Bluffdale","NC","NC","NC",NA,40.48933,-111.94077,1358,"","87",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.97,-15.91,NA,NA,"Tipple","Tipple","NC"
"30","Bluffdale","NC","NC","NC",NA,40.49048,-111.95137,1371,"","66",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.11,-16.09,NA,NA,"Tipple","Tipple","NC"
"31","Draper","NC","NC","NC",NA,40.49086,-111.87235,1455,"","65",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-120.32,-16.28,NA,NA,"Tipple","Tipple","NC"
"32","Draper","NC","NC","NC",NA,40.52439,-111.85413,1383,"","64",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-119.71,-16.22,NA,NA,"Tipple","Tipple","NC"
"33","Sandy","NC","NC","NC",NA,40.54467,-111.84183,1457,"","63",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.23,-16.06,NA,NA,"Tipple","Tipple","NC"
"34","South Jordan","NC","NC","NC",NA,40.54474,-111.93937,1357,"","84",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.67,-16,NA,NA,"Tipple","Tipple","NC"
"35","South Jordan","NC","NC","NC",NA,40.54474,-111.93937,1357,"","85",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.86,-15.93,NA,NA,"Tipple","Tipple","NC"
"36","South Jordan","NC","NC","NC",NA,40.56427,-111.98666,1435,"","67",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.25,-15.89,NA,NA,"Tipple","Tipple","NC"
"37","West Jordan","NC","NC","NC",NA,40.6056,-111.9427,1339,"","83",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.83,-15.89,NA,NA,"Tipple","Tipple","NC"
"38","West Jordan","NC","NC","NC",NA,40.60892,-111.98609,1396,"","68",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.06,-15.97,NA,NA,"Tipple","Tipple","NC"
"39","Midvale","NC","NC","NC",NA,40.61028,-111.91077,1328,"","82",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-119.97,-16.09,NA,NA,"Tipple","Tipple","NC"
"40","Midvale","NC","NC","NC",NA,40.61859,-111.87392,1351,"","69",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-120.49,-16.36,NA,NA,"Tipple","Tipple","NC"
"41","Cottonwood Heights","NC","NC","NC",NA,40.61903,-111.78969,1499,"","62",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.5,-15.82,NA,NA,"Tipple","Tipple","NC"
"42","Taylorsville","NC","NC","NC",NA,40.65449,-111.92435,1302,"","71",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.13,-15.88,NA,NA,"Tipple","Tipple","NC"
"43","Taylorsville","NC","NC","NC",NA,40.65876,-111.98607,1376,"","73",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.42,-15.88,NA,NA,"Tipple","Tipple","NC"
"44","Murray","NC","NC","NC",NA,40.66009,-111.88734,1314,"","70",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.73,-16.12,NA,NA,"Tipple","Tipple","NC"
"45","West Valley City","NC","NC","NC",NA,40.66685,-111.94048,1312,"","81",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-124.23,-16.93,NA,NA,"Tipple","Tipple","NC"
"46","Taylorsville","NC","NC","NC",NA,40.66787,-111.93943,1313,"","72",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-125.49,-16.9,NA,NA,"Tipple","Tipple","NC"
"47","Magna","NC","NC","NC",NA,40.69568,-112.09278,1348,"","76",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-106.78,-13.28,NA,NA,"Tipple","Tipple","NC"
"48","West Valley City","NC","NC","NC",NA,40.69608,-111.98611,1304,"","74",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.16,-16.05,NA,NA,"Tipple","Tipple","NC"
"49","West Valley City","NC","NC","NC",NA,40.69634,-112.04391,1319,"","75",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-124.74,-16.25,NA,NA,"Tipple","Tipple","NC"
"50","Salt Lake City","NC","NC","NC",NA,40.70071,-111.80205,1466,"","61",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-120.84,-15.86,NA,NA,"Tipple","Tipple","NC"
"51","Salt Lake City","NC","NC","NC",NA,40.7249,-111.85432,1347,"","88",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-119.72,-16.06,NA,NA,"Tipple","Tipple","NC"
"52","Salt Lake City","NC","NC","NC",NA,40.73373,-111.9382,1293,"","77",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-120.79,-16.23,NA,NA,"Tipple","Tipple","NC"
"53","Salt Lake City","NC","NC","NC",NA,40.75232,-111.85438,1377,"","60",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-118.98,-16.12,NA,NA,"Tipple","Tipple","NC"
"54","Salt Lake City","NC","NC","NC",NA,40.75994,-111.93819,1291,"","78",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-120.86,-16.37,NA,NA,"Tipple","Tipple","NC"
"55","Salt Lake City","NC","NC","NC",NA,40.76099,-111.93216,1289,"","79",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.13,-16.2,NA,NA,"Tipple","Tipple","NC"
"56","Salt Lake City","NC","NC","NC",NA,40.79053,-111.93658,1287,"","80",NA,NA,"23-10-12",2012,"fall","october","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.39,-16.47,NA,NA,"Tipple","Tipple","NC"
"57","Draper","NC","NC","NC",NA,40.48532,-111.88387,1475,"","104",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.45,-16.13,NA,NA,"Tipple","Tipple","NC"
"58","Bluffdale","NC","NC","NC",NA,40.48933,-111.94077,1358,"","105",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.95,-16.09,NA,NA,"Tipple","Tipple","NC"
"59","Draper","NC","NC","NC",NA,40.50677,-111.84499,1428,"","110",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.63,-16.46,NA,NA,"Tipple","Tipple","NC"
"60","Draper","NC","NC","NC",NA,40.52439,-111.85413,1383,"","92",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-118.24,-16.39,NA,NA,"Tipple","Tipple","NC"
"61","South Jordan","NC","NC","NC",NA,40.54474,-111.93937,1357,"","103",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.45,-16.24,NA,NA,"Tipple","Tipple","NC"
"62","Sandy","NC","NC","NC",NA,40.55982,-111.854,1426,"","111",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.16,-16.05,NA,NA,"Tipple","Tipple","NC"
"63","South Jordan","NC","NC","NC",NA,40.56183,-111.9866,1435,"","109",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.25,-16.11,NA,NA,"Tipple","Tipple","NC"
"64","West Jordan","NC","NC","NC",NA,40.6056,-111.9427,1339,"","102",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.77,-16.33,NA,NA,"Tipple","Tipple","NC"
"65","West Jordan","NC","NC","NC",NA,40.60892,-111.98609,1396,"","93",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.93,-16.08,NA,NA,"Tipple","Tipple","NC"
"66","Midvale","NC","NC","NC",NA,40.61028,-111.91077,1328,"","101",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-120.16,-16.21,NA,NA,"Tipple","Tipple","NC"
"67","Cottonwood Heights","NC","NC","NC",NA,40.61903,-111.78969,1499,"","91",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.98,-16.16,NA,NA,"Tipple","Tipple","NC"
"68","Midvale","NC","NC","NC",NA,40.62033,-111.87249,1354,"","112",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.49,-16.2,NA,NA,"Tipple","Tipple","NC"
"69","Taylorsville","NC","NC","NC",NA,40.65266,-111.93941,1324,"","114",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.84,-16.26,NA,NA,"Tipple","Tipple","NC"
"70","Kearns","NC","NC","NC",NA,40.65352,-111.98597,1389,"","108",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.25,-16.19,NA,NA,"Tipple","Tipple","NC"
"71","Murray","NC","NC","NC",NA,40.65838,-111.88741,1311,"","113",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.69,-16.41,NA,NA,"Tipple","Tipple","NC"
"72","West Valley City","NC","NC","NC",NA,40.66685,-111.94048,1312,"","100",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.88,-16.28,NA,NA,"Tipple","Tipple","NC"
"73","Magna","NC","NC","NC",NA,40.69568,-112.09278,1348,"","96",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-108.73,-13.94,NA,NA,"Tipple","Tipple","NC"
"74","West Valley City","NC","NC","NC",NA,40.69608,-111.98611,1304,"","94",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-120.65,-16.3,NA,NA,"Tipple","Tipple","NC"
"75","West Valley City","NC","NC","NC",NA,40.69634,-112.04391,1319,"","95",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-120.29,-16.42,NA,NA,"Tipple","Tipple","NC"
"76","Salt Lake City","NC","NC","NC",NA,40.70071,-111.80205,1466,"","90",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-119.91,-15.94,NA,NA,"Tipple","Tipple","NC"
"77","Salt Lake City","NC","NC","NC",NA,40.7249,-111.85432,1347,"","106",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.66,-16.33,NA,NA,"Tipple","Tipple","NC"
"78","Salt Lake City","NC","NC","NC",NA,40.73373,-111.9382,1293,"","97",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.03,-16.31,NA,NA,"Tipple","Tipple","NC"
"79","Salt Lake City","NC","NC","NC",NA,40.73982,-111.8259,1440,"","107",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-122.4,-16.12,NA,NA,"Tipple","Tipple","NC"
"80","Salt Lake City","NC","NC","NC",NA,40.75232,-111.85438,1377,"","89",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-121.44,-16.09,NA,NA,"Tipple","Tipple","NC"
"81","Salt Lake City","NC","NC","NC",NA,40.75994,-111.93819,1291,"","98",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.59,-16.31,NA,NA,"Tipple","Tipple","NC"
"82","Salt Lake City","NC","NC","NC",NA,40.76104,-111.92722,1290,"","115",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.11,-16.13,NA,NA,"Tipple","Tipple","NC"
"83","Salt Lake City","NC","NC","NC",NA,40.79053,-111.93658,1287,"","99",NA,NA,"17-01-13",2013,"winter","january","NC because although it is spatially clustered (1-SLC_Area), isn<92>t temporally. Not used for analysis.",-123.99,-16.41,NA,NA,"Tipple","Tipple","NC"
"84","Draper","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.48532,-111.88387,1475,"","146",NA,NA,"23-04-13",2013,"spring","april","",-121.53,-16.31,NA,NA,"Tipple","Tipple","multi"
"85","Draper","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.48665,-111.92691,1341,"","121",NA,NA,"23-04-13",2013,"spring","april","",-123.3,-16.29,NA,NA,"Tipple","Tipple","multi"
"86","Bluffdale","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.48933,-111.94077,1358,"","147",NA,NA,"23-04-13",2013,"spring","april","",-121.45,-16.28,NA,NA,"Tipple","Tipple","multi"
"87","Bluffdale","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.49048,-111.95137,1371,"","122",NA,NA,"23-04-13",2013,"spring","april","",-122.36,-16.23,NA,NA,"Tipple","Tipple","multi"
"88","Draper","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.50677,-111.84499,1428,"","152",NA,NA,"23-04-13",2013,"spring","april","",-119.59,-16.28,NA,NA,"Tipple","Tipple","multi"
"89","Riverton","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.51699,-111.96032,1381,"","123",NA,NA,"23-04-13",2013,"spring","april","",-115.04,-14.66,NA,NA,"Tipple","Tipple","multi"
"90","Draper","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.52439,-111.85413,1383,"","120",NA,NA,"23-04-13",2013,"spring","april","",-120.87,-16.17,NA,NA,"Tipple","Tipple","multi"
"91","Sandy","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.54467,-111.84183,1457,"","119",NA,NA,"23-04-13",2013,"spring","april","",-122.38,-16.33,NA,NA,"Tipple","Tipple","multi"
"92","South Jordan","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.54474,-111.93937,1357,"","145",NA,NA,"23-04-13",2013,"spring","april","",-123.27,-15.9,NA,NA,"Tipple","Tipple","multi"
"93","South Jordan","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.55154,-111.94126,1359,"","124",NA,NA,"23-04-13",2013,"spring","april","",-123.35,-16.12,NA,NA,"Tipple","Tipple","multi"
"94","Sandy","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.55982,-111.854,1426,"","153",NA,NA,"23-04-13",2013,"spring","april","",-121.22,-16.28,NA,NA,"Tipple","Tipple","multi"
"95","South Jordan","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.56183,-111.9866,1435,"","151",NA,NA,"23-04-13",2013,"spring","april","",-120.45,-16.2,NA,NA,"Tipple","Tipple","multi"
"96","South Jordan","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.56427,-111.98666,1435,"","125",NA,NA,"23-04-13",2013,"spring","april","",-121.68,-16.36,NA,NA,"Tipple","Tipple","multi"
"97","West Jordan","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.6056,-111.9427,1339,"","144",NA,NA,"23-04-13",2013,"spring","april","",-122.85,-16.15,NA,NA,"Tipple","Tipple","multi"
"98","West Jordan","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.60802,-111.94479,1342,"","127",NA,NA,"23-04-13",2013,"spring","april","",-122.56,-16.2,NA,NA,"Tipple","Tipple","multi"
"99","West Jordan","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.60892,-111.98609,1396,"","126",NA,NA,"23-04-13",2013,"spring","april","",-124.33,-16.21,NA,NA,"Tipple","Tipple","multi"
"100","Midvale","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.61028,-111.91077,1328,"","143",NA,NA,"23-04-13",2013,"spring","april","",-120.46,-16.16,NA,NA,"Tipple","Tipple","multi"
"101","Midvale","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.61374,-111.90334,1335,"","128",NA,NA,"23-04-13",2013,"spring","april","",-120.59,-16.04,NA,NA,"Tipple","Tipple","multi"
"102","Midvale","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.61859,-111.87392,1351,"","129",NA,NA,"23-04-13",2013,"spring","april","",-123.33,-16.17,NA,NA,"Tipple","Tipple","multi"
"103","Cottonwood Heights","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.61903,-111.78969,1499,"","118",NA,NA,"23-04-13",2013,"spring","april","",-122.44,-16.47,NA,NA,"Tipple","Tipple","multi"
"104","Midvale","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.62033,-111.87249,1354,"","154",NA,NA,"23-04-13",2013,"spring","april","",-121.46,-16.2,NA,NA,"Tipple","Tipple","multi"
"105","Taylorsville","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.65266,-111.93941,1324,"","156",NA,NA,"23-04-13",2013,"spring","april","",-122.97,-16.88,NA,NA,"Tipple","Tipple","multi"
"106","Kearns","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.65352,-111.98597,1389,"","150",NA,NA,"23-04-13",2013,"spring","april","",-121.8,-16.26,NA,NA,"Tipple","Tipple","multi"
"107","Taylorsville","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.65449,-111.92435,1302,"","131",NA,NA,"23-04-13",2013,"spring","april","",-124.42,-16.71,NA,NA,"Tipple","Tipple","multi"
"108","Murray","1.1","Salt Lake City","Salt Lake City_Ap-13","UT",40.65838,-111.88741,1311,"","155",NA,NA,"23-04-13",2013,"spring","april","",-121.72,-16.58,NA,NA,"Tipple","Tipple","multi"
