"","streamflow","precip","Cluster_Location","pop","medincome","total_area","perc_water","popdensity","elevation_range","water_use","surfacewater_total","groundwater_total"
"1",72.9366300381953,885.992990448144,"Ann Arbor",368385,75730,1871.063037,2.27,201.46404060773,179,30.3,15.9,14.4
"2",499.760557621681,322.48841837795,"Albuquerque",679037,54308,3023.494267,0.53,225.772851366506,1701,138.61,81.71,56.9
"3",48.2754518190632,1280.39844746492,"Athens",166146,53267.0181165962,796.181222,1.25,211.320376316023,198,18.16,12.21,5.95
"4",187.862656685349,1355.85118550547,"Atlanta",2563490,72882.0197590004,2978.528792,1.37,872.60673580862,530,258.96,255.22,3.74
"5",484.174398143834,1896.29726337162,"Bellingham",224538,65420,6487.595148,15.85,41.1280665242038,3169,109.22,69.25,39.97
"6",95.2574840629022,404.844116972413,"Cedar City",53148,52045,8548.86534,0.13,6.22526025959201,2197,173.6,28.68,144.92
"7",72.9131218823604,435.028831026152,"Colorado Springs",710499,71517,5514.457283,0.13,129.008368179799,2780,104.15,79.77,24.38
"8",324.035362287919,485.08870855108,"Denver",2848623,80067.9105718798,9562.02735,1.37,302.042862878079,2763,744.63,709.24,35.39
"9",2592.13211809265,992.911595356758,"Dallas Fort Worth",6056668,71816.2699789719,9060.915889,2.85,688.019420956883,307,705.43,666.46,38.97
"10",13054.0093964695,341.552498192836,"Flagstaff",142254,59000,48332.766923,0.24,2.95034014080204,3284,38.97,20.68,18.29
"11",118.029726243054,1372.31772419558,"Gainesville",268105,50089,2509.202838,9.62,118.217009339418,143,45.65,0.21,45.44
"12",2809.61981960686,992.195482295622,"Lawrence",121304,61020,1229.303143,3.98,102.762717773079,141,18.96,16.24,2.72
"13",10565.0060105513,221.430066942141,"Los Angeles",17965048,72647.1646875644,95010.194056,3.1,195.132117591438,3407,3570.09,1637.98,1932.11
"14",4383.9926974499,927.948281231481,"La Crosse",187582,60150.4346685716,4378.449197,3.57,44.4303599426005,428,45.42,15.6,29.82
"15",NA,NA,"Hawaii",201350,65401,13173.107933,20.8,19.2981633727637,4141,NA,NA,NA
"16",1898.24435440698,828.292602337958,"Minneapolis",2155669,78163.4184436479,3167.230698,7.74,737.698413316977,438,514.31,379.75,134.56
"17",287.882655276451,1253.20822462395,"Morristown",2176772,88768.5584039118,2645.173915,2.9,847.499836296067,434,289.05,192.25,96.8
"18",1035.60458932281,1389.82885547394,"Nashville",1287598,72908.6468866836,5285.411966,1.59,247.541472090087,546,200.36,193.86,6.5
"19",NA,NA,"Oahu",979682,87722,5610.489638,72.27,629.772466246362,1160,NA,NA,NA
"20",4566.03678342061,283.274418717561,"Phoenix",4860338,67169.9747081376,37815.595577,0.22,128.809792585505,2640,3078.8,1456.92,1621.88
"21",19764.4730595148,1831.11311601874,"Portland",1443632,75064.8466146497,7779.681646,2.45,190.215733212983,3182,610.95,433.47,177.48
"22",380.052336782479,1131.79287925232,"State College",162264,61921,2882.717097,0.39,56.507663657911,738,40.9,3.61,37.29
"23",28.754336092522,323.196439760505,"San Diego",3323970,82426,11721.772283,6.97,304.825107938947,2538,532.8,427.27,105.53
"24",502.908394759943,609.437608552459,"San Francisco",6633599,117490.192995688,12251.193334,20.48,680.923118943947,1203,867.74,664.21,203.53
"25",416.151350641405,545.034410368838,"Salt Lake City",1496976,79574.6967820459,3732.041825,27.75,555.148544757,2198,230.61,124.07,106.54
"26",1580.90935613928,893.848057190801,"San Marcos",222827,68724,1758.087523,0.29,127.109386869381,554,13.38,4.82,8.56
"27",9.84529602086695,1426.85663446105,"St Petersburg",970985,56419,2245.072228,68.42,1369.34651656543,78,26.44,0.39,26.05
"28",104.614309131954,1030.94254170849,"Wooster",116063,61424,1441.937439,0.35,80.7733578380812,188,15.84,1.46,14.38
