"","site_name","cluster_ID","cluster_location","cluster_location_time","lat","lon","site_comments","sample_ID","start_time","collection_time_zone","collection_date","year","season","month","sample_comments","d2H","d18O","d2H_analytical_sd","d18O_analytical_sd","source","project_ID","d_ex","county","state","elevation","cluster_number","modality"
"1","Draper","1.01","Salt Lake City","Salt Lake City_Ap-13",40.48532,-111.88387,NA,"146",NA,NA,"23-04-13",2013,"spring","april",NA,-121.53,-16.31,NA,NA,"Tipple","Tipple",8.95,"Salt Lake","Utah",1460,NA,"Uni"
"2","Draper","1.01","Salt Lake City","Salt Lake City_Ap-13",40.48665,-111.92691,NA,"121",NA,NA,"23-04-13",2013,"spring","april",NA,-123.3,-16.29,NA,NA,"Tipple","Tipple",7.02,"Salt Lake","Utah",1353,NA,"Uni"
"3","Bluffdale","1.01","Salt Lake City","Salt Lake City_Ap-13",40.48933,-111.94077,NA,"147",NA,NA,"23-04-13",2013,"spring","april",NA,-121.45,-16.28,NA,NA,"Tipple","Tipple",8.79,"Salt Lake","Utah",1353,NA,"Uni"
"4","Bluffdale","1.01","Salt Lake City","Salt Lake City_Ap-13",40.49048,-111.95137,NA,"122",NA,NA,"23-04-13",2013,"spring","april",NA,-122.36,-16.23,NA,NA,"Tipple","Tipple",7.48,"Salt Lake","Utah",1369,NA,"Uni"
"5","Draper","1.01","Salt Lake City","Salt Lake City_Ap-13",40.50677,-111.84499,NA,"152",NA,NA,"23-04-13",2013,"spring","april",NA,-119.59,-16.28,NA,NA,"Tipple","Tipple",10.65,"Salt Lake","Utah",1477,NA,"Uni"
"6","Riverton","1.01","Salt Lake City","Salt Lake City_Ap-13",40.51699,-111.96032,NA,"123",NA,NA,"23-04-13",2013,"spring","april",NA,-115.04,-14.66,NA,NA,"Tipple","Tipple",2.24,"Salt Lake","Utah",1366,NA,"Uni"
"7","Draper","1.01","Salt Lake City","Salt Lake City_Ap-13",40.52439,-111.85413,NA,"120",NA,NA,"23-04-13",2013,"spring","april",NA,-120.87,-16.17,NA,NA,"Tipple","Tipple",8.49,"Salt Lake","Utah",1408,NA,"Uni"
"8","Sandy","1.01","Salt Lake City","Salt Lake City_Ap-13",40.54467,-111.84183,NA,"119",NA,NA,"23-04-13",2013,"spring","april",NA,-122.38,-16.33,NA,NA,"Tipple","Tipple",8.26,"Salt Lake","Utah",1446,NA,"Uni"
"9","South Jordan","1.01","Salt Lake City","Salt Lake City_Ap-13",40.54474,-111.93937,NA,"145",NA,NA,"23-04-13",2013,"spring","april",NA,-123.27,-15.9,NA,NA,"Tipple","Tipple",3.93,"Salt Lake","Utah",1348,NA,"Uni"
"10","South Jordan","1.01","Salt Lake City","Salt Lake City_Ap-13",40.55154,-111.94126,NA,"124",NA,NA,"23-04-13",2013,"spring","april",NA,-123.35,-16.12,NA,NA,"Tipple","Tipple",5.61,"Salt Lake","Utah",1348,NA,"Uni"
"11","Sandy","1.01","Salt Lake City","Salt Lake City_Ap-13",40.55982,-111.854,NA,"153",NA,NA,"23-04-13",2013,"spring","april",NA,-121.22,-16.28,NA,NA,"Tipple","Tipple",9.02,"Salt Lake","Utah",1446,NA,"Uni"
"12","South Jordan","1.01","Salt Lake City","Salt Lake City_Ap-13",40.56183,-111.9866,NA,"151",NA,NA,"23-04-13",2013,"spring","april",NA,-120.45,-16.2,NA,NA,"Tipple","Tipple",9.15,"Salt Lake","Utah",1455,NA,"Uni"
