"","site_name","cluster_ID","cluster_location","cluster_location_time","lat","lon","site_comments","sample_ID","start_time","collection_time_zone","collection_date","year","season","month","sample_comments","d2H","d18O","d2H_analytical_sd","d18O_analytical_sd","source","project_ID","d_ex","county","state","elevation","cluster_number","modality"
"13","South Jordan","1.01","Salt Lake City","Salt Lake City_Ap-13",40.56427,-111.98666,NA,"125",NA,NA,"23-04-13",2013,"spring","april",NA,-121.68,-16.36,NA,NA,"Tipple","Tipple",9.2,"Salt Lake","Utah",1455,NA,"Uni"
"14","West Jordan","1.01","Salt Lake City","Salt Lake City_Ap-13",40.6056,-111.9427,NA,"144",NA,NA,"23-04-13",2013,"spring","april",NA,-122.85,-16.15,NA,NA,"Tipple","Tipple",6.35,"Salt Lake","Utah",1362,NA,"Uni"
"15","West Jordan","1.01","Salt Lake City","Salt Lake City_Ap-13",40.60802,-111.94479,NA,"127",NA,NA,"23-04-13",2013,"spring","april",NA,-122.56,-16.2,NA,NA,"Tipple","Tipple",7.04,"Salt Lake","Utah",1362,NA,"Uni"
"16","West Jordan","1.01","Salt Lake City","Salt Lake City_Ap-13",40.60892,-111.98609,NA,"126",NA,NA,"23-04-13",2013,"spring","april",NA,-124.33,-16.21,NA,NA,"Tipple","Tipple",5.35,"Salt Lake","Utah",1415,NA,"Uni"
"17","Midvale","1.01","Salt Lake City","Salt Lake City_Ap-13",40.61028,-111.91077,NA,"143",NA,NA,"23-04-13",2013,"spring","april",NA,-120.46,-16.16,NA,NA,"Tipple","Tipple",8.82,"Salt Lake","Utah",1325,NA,"Uni"
"18","Midvale","1.01","Salt Lake City","Salt Lake City_Ap-13",40.61374,-111.90334,NA,"128",NA,NA,"23-04-13",2013,"spring","april",NA,-120.59,-16.04,NA,NA,"Tipple","Tipple",7.73,"Salt Lake","Utah",1325,NA,"Uni"
"19","Midvale","1.01","Salt Lake City","Salt Lake City_Ap-13",40.61859,-111.87392,NA,"129",NA,NA,"23-04-13",2013,"spring","april",NA,-123.33,-16.17,NA,NA,"Tipple","Tipple",6.03,"Salt Lake","Utah",1369,NA,"Uni"
"20","Cottonwood Heights","1.01","Salt Lake City","Salt Lake City_Ap-13",40.61903,-111.78969,NA,"118",NA,NA,"23-04-13",2013,"spring","april",NA,-122.44,-16.47,NA,NA,"Tipple","Tipple",9.32,"Salt Lake","Utah",1792,NA,"Uni"
"21","Midvale","1.01","Salt Lake City","Salt Lake City_Ap-13",40.62033,-111.87249,NA,"154",NA,NA,"23-04-13",2013,"spring","april",NA,-121.46,-16.2,NA,NA,"Tipple","Tipple",8.14,"Salt Lake","Utah",1369,NA,"Uni"
"22","Taylorsville","1.01","Salt Lake City","Salt Lake City_Ap-13",40.65266,-111.93941,NA,"156",NA,NA,"23-04-13",2013,"spring","april",NA,-122.97,-16.88,NA,NA,"Tipple","Tipple",12.07,"Salt Lake","Utah",1316,NA,"Uni"
"23","Kearns","1.01","Salt Lake City","Salt Lake City_Ap-13",40.65352,-111.98597,NA,"150",NA,NA,"23-04-13",2013,"spring","april",NA,-121.8,-16.26,NA,NA,"Tipple","Tipple",8.28,"Salt Lake","Utah",1382,NA,"Uni"
"24","Taylorsville","1.01","Salt Lake City","Salt Lake City_Ap-13",40.65449,-111.92435,NA,"131",NA,NA,"23-04-13",2013,"spring","april",NA,-124.42,-16.71,NA,NA,"Tipple","Tipple",9.26,"Salt Lake","Utah",1316,NA,"Uni"
"25","Murray","1.01","Salt Lake City","Salt Lake City_Ap-13",40.65838,-111.88741,NA,"155",NA,NA,"23-04-13",2013,"spring","april",NA,-121.72,-16.58,NA,NA,"Tipple","Tipple",10.92,"Salt Lake","Utah",1315,NA,"Uni"
"26","Taylorsville","1.01","Salt Lake City","Salt Lake City_Ap-13",40.65876,-111.98607,NA,"133",NA,NA,"23-04-13",2013,"spring","april",NA,-123.03,-16.06,NA,NA,"Tipple","Tipple",5.45,"Salt Lake","Utah",1382,NA,"Uni"
"27","Taylorsville","1.01","Salt Lake City","Salt Lake City_Ap-13",40.65876,-111.98607,NA,"134",NA,NA,"23-04-13",2013,"spring","april",NA,-123.15,-16.06,NA,NA,"Tipple","Tipple",5.33,"Salt Lake","Utah",1382,NA,"Uni"
"28","Murray","1.01","Salt Lake City","Salt Lake City_Ap-13",40.66009,-111.88734,NA,"130",NA,NA,"23-04-13",2013,"spring","april",NA,-123.13,-16.51,NA,NA,"Tipple","Tipple",8.95,"Salt Lake","Utah",1315,NA,"Uni"
"29","West Valley City","1.01","Salt Lake City","Salt Lake City_Ap-13",40.66685,-111.94048,NA,"142",NA,NA,"23-04-13",2013,"spring","april",NA,-124.76,-16.79,NA,NA,"Tipple","Tipple",9.56,"Salt Lake","Utah",1316,NA,"Uni"
"30","Taylorsville","1.01","Salt Lake City","Salt Lake City_Ap-13",40.66787,-111.93943,NA,"132",NA,NA,"23-04-13",2013,"spring","april",NA,-124.93,-17.01,NA,NA,"Tipple","Tipple",11.100005,"Salt Lake","Utah",1316,NA,"Uni"
"31","Magna","1.01","Salt Lake City","Salt Lake City_Ap-13",40.69568,-112.09278,NA,"137",NA,NA,"23-04-13",2013,"spring","april",NA,-116.78,-15.24,NA,NA,"Tipple","Tipple",5.14,"Salt Lake","Utah",1376,NA,"Uni"
"32","West Valley City","1.01","Salt Lake City","Salt Lake City_Ap-13",40.69608,-111.98611,NA,"135",NA,NA,"23-04-13",2013,"spring","april",NA,-122.85,-16.25,NA,NA,"Tipple","Tipple",7.15,"Salt Lake","Utah",1305,NA,"Uni"
"33","West Valley City","1.01","Salt Lake City","Salt Lake City_Ap-13",40.69634,-112.04391,NA,"136",NA,NA,"23-04-13",2013,"spring","april",NA,-121.63,-16.17,NA,NA,"Tipple","Tipple",7.73,"Salt Lake","Utah",1311,NA,"Uni"
"34","Salt Lake City","1.01","Salt Lake City","Salt Lake City_Ap-13",40.70071,-111.80205,NA,"117",NA,NA,"23-04-13",2013,"spring","april",NA,-121.100003,-15.98,NA,NA,"Tipple","Tipple",6.71,"Salt Lake","Utah",1537,NA,"Uni"
"35","Salt Lake City","1.01","Salt Lake City","Salt Lake City_Ap-13",40.7249,-111.85432,NA,"148",NA,NA,"23-04-13",2013,"spring","april",NA,-122.15,-16.33,NA,NA,"Tipple","Tipple",8.49,"Salt Lake","Utah",1357,NA,"Uni"
"36","Salt Lake City","1.01","Salt Lake City","Salt Lake City_Ap-13",40.73373,-111.9382,NA,"138",NA,NA,"23-04-13",2013,"spring","april",NA,-122.01,-16.47,NA,NA,"Tipple","Tipple",9.75,"Salt Lake","Utah",1295,NA,"Uni"
"37","Salt Lake City","1.01","Salt Lake City","Salt Lake City_Ap-13",40.73982,-111.8259,NA,"149",NA,NA,"23-04-13",2013,"spring","april",NA,-120.88,-16.34,NA,NA,"Tipple","Tipple",9.84,"Salt Lake","Utah",1491,NA,"Uni"
"38","Salt Lake City","1.01","Salt Lake City","Salt Lake City_Ap-13",40.75232,-111.85438,NA,"116",NA,NA,"23-04-13",2013,"spring","april",NA,-121.62,-16.44,NA,NA,"Tipple","Tipple",9.9,"Salt Lake","Utah",1382,NA,"Uni"
"39","Salt Lake City","1.01","Salt Lake City","Salt Lake City_Ap-13",40.75994,-111.93819,NA,"139",NA,NA,"23-04-13",2013,"spring","april",NA,-122.75,-16.51,NA,NA,"Tipple","Tipple",9.33,"Salt Lake","Utah",1289,NA,"Uni"
"40","Salt Lake City","1.01","Salt Lake City","Salt Lake City_Ap-13",40.76099,-111.93216,NA,"140",NA,NA,"23-04-13",2013,"spring","april",NA,-123.08,-16.55,NA,NA,"Tipple","Tipple",9.32,"Salt Lake","Utah",1289,NA,"Uni"
"41","Salt Lake City","1.01","Salt Lake City","Salt Lake City_Ap-13",40.79053,-111.93658,NA,"141",NA,NA,"23-04-13",2013,"spring","april",NA,-122.18,-16.58,NA,NA,"Tipple","Tipple",10.46,"Salt Lake","Utah",1291,NA,"Uni"
"42","McDonalds","1.01","Salt Lake City","Salt Lake City_Ap-13",40.73638,-111.88778,NA,"SLV-13-028",NA,-6,"24-04-13 3:27",2013,"spring","april",NA,-122.4335355,-16.27825593,0.087315681,0.029467201,"SPATIAL","p58",7.79251194,"Salt Lake","Utah",1296,NA,"Uni"
"43","KFC","1.01","Salt Lake City","Salt Lake City_Ap-13",40.68752,-111.88874,NA,"SLV-13-029",NA,-6,"24-04-13 4:10",2013,"spring","april",NA,-122.2313142,-16.32582907,0.05509281,0.008850414,"SPATIAL","p58",8.37531836,"Salt Lake","Utah",1307,NA,"Uni"
"44","Murray City Park","1.01","Salt Lake City","Salt Lake City_Ap-13",40.65996,-111.87905,NA,"SLV-13-030",NA,-6,"24-04-13 4:20",2013,"spring","april",NA,-110.5211912,-14.29701613,0.041171188,0.022489146,"SPATIAL","p58",3.85493784,"Salt Lake","Utah",1315,NA,"Uni"
"45","Shell","1.01","Salt Lake City","Salt Lake City_Ap-13",40.76524,-111.85461,NA,"SLV-13-061",NA,-6,"24-04-13 9:30",2013,"spring","april",NA,-122.2334517,-16.38602782,0.034118705,0.033139772,"SPATIAL","p58",8.85477086,"Salt Lake","Utah",1476,NA,"Uni"
"46","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.72049,-111.93855,NA,"SLV-13-031",NA,-6,"24-04-13 9:40",2013,"spring","april",NA,-122.4032674,-16.19632293,0.086285207,0.009403199,"SPATIAL","p58",7.16731604,"Salt Lake","Utah",1295,NA,"Uni"
"47","Sinclair","1.01","Salt Lake City","Salt Lake City_Ap-13",40.74135,-111.82632,NA,"SLV-13-062",NA,-6,"24-04-13 9:40",2013,"spring","april",NA,-122.2501996,-16.38106838,0.084808596,0.050735812,"SPATIAL","p58",8.79834744,"Salt Lake","Utah",1491,NA,"Uni"
"48","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.618893,-111.789845,NA,"SLV-13-091",NA,-6,"24-04-13 9:44",2013,"spring","april",NA,-121.3785131,-16.08758775,0.074154305,0.023654534,"SPATIAL","p58",7.3221889,"Salt Lake","Utah",1792,NA,"Uni"
"49","Chevron","1.01","Salt Lake City","Salt Lake City_Ap-13",40.71997,-111.81145,NA,"SLV-13-063",NA,-6,"24-04-13 9:45",2013,"spring","april",NA,-122.3162019,-16.40392955,0.122940548,0.044404774,"SPATIAL","p58",8.9152345,"Salt Lake","Utah",1606,NA,"Uni"
"50","Maverick","1.01","Salt Lake City","Salt Lake City_Ap-13",40.71163,-111.96703,NA,"SLV-13-032",NA,-6,"24-04-13 9:47",2013,"spring","april",NA,-123.6932302,-16.35579525,0.060996817,0.015508675,"SPATIAL","p58",7.1531318,"Salt Lake","Utah",1301,NA,"Uni"
"51","Shell","1.01","Salt Lake City","Salt Lake City_Ap-13",40.72514,-111.83019,NA,"SLV-13-064",NA,-6,"24-04-13 9:50",2013,"spring","april",NA,-121.0065007,-16.15318017,0.121766035,0.013635223,"SPATIAL","p58",8.21894066,"Salt Lake","Utah",1429,NA,"Uni"
"52","Phillips 66","1.01","Salt Lake City","Salt Lake City_Ap-13",40.62448,-111.82679,NA,"SLV-13-092",NA,-6,"24-04-13 9:52",2013,"spring","april",NA,-121.362159,-16.06255371,0.030795416,0.019461477,"SPATIAL","p58",7.13827068,"Salt Lake","Utah",1404,NA,"Uni"
"53","Maverick","1.01","Salt Lake City","Salt Lake City_Ap-13",40.54414,-111.87157,NA,"SLV-13-001",NA,-6,"24-04-13 9:55",2013,"spring","april",NA,-118.8433398,-16.11724327,0.146622355,0.013629883,"SPATIAL","p58",10.09460636,"Salt Lake","Utah",1412,NA,"Uni"
"54","Maverick","1.01","Salt Lake City","Salt Lake City_Ap-13",40.7117,-112.02583,NA,"SLV-13-033",NA,-6,"24-04-13 9:55",2013,"spring","april",NA,-97.78292704,-11.47787463,0.266531766,0.031932033,"SPATIAL","p58",-5.95993,"Salt Lake","Utah",1309,NA,"Uni"
"55","McDonalds","1.01","Salt Lake City","Salt Lake City_Ap-13",40.72585,-111.86451,NA,"SLV-13-065",NA,-6,"24-04-13 10:00",2013,"spring","april",NA,-121.8819701,-16.28696905,0.19048413,0.011139074,"SPATIAL","p58",8.4137823,"Salt Lake","Utah",1316,NA,"Uni"
"56","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.71625,-112.06263,NA,"SLV-13-034",NA,-6,"24-04-13 10:00",2013,"spring","april",NA,-97.15984447,-11.48680687,0.058333901,0.016307562,"SPATIAL","p58",-5.26538951,"Salt Lake","Utah",1289,NA,"Uni"
"57","Shell","1.01","Salt Lake City","Salt Lake City_Ap-13",40.6258,-111.85358,NA,"SLV-13-093",NA,-6,"24-04-13 10:01",2013,"spring","april",NA,-123.5928087,-16.67309857,0.057790922,0.016884506,"SPATIAL","p58",9.79197986,"Salt Lake","Utah",1387,NA,"Uni"
"58","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.74146,-111.87626,NA,"SLV-13-066",NA,-6,"24-04-13 10:05",2013,"spring","april",NA,-121.5241835,-16.35058757,0.082986582,0.017234983,"SPATIAL","p58",9.28051706,"Salt Lake","Utah",1317,NA,"Uni"
"59","Holiday","1.01","Salt Lake City","Salt Lake City_Ap-13",40.71107,-112.09255,NA,"SLV-13-035",NA,-6,"24-04-13 10:07",2013,"spring","april",NA,-97.27040683,-11.4997973,0.113917595,0.021702484,"SPATIAL","p58",-5.27202843,"Salt Lake","Utah",1320,NA,"Uni"
"60","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.5265,-111.87182,NA,"SLV-13-003",NA,-6,"24-04-13 10:07",2013,"spring","april",NA,-118.7060913,-16.11887369,0.063379849,0.005946772,"SPATIAL","p58",10.24489822,"Salt Lake","Utah",1340,NA,"Uni"
"61","Shell","1.01","Salt Lake City","Salt Lake City_Ap-13",40.61067,-111.8177,NA,"SLV-13-094",NA,-6,"24-04-13 10:10",2013,"spring","april",NA,-121.3851879,-16.06722283,0.123273808,0.007341063,"SPATIAL","p58",7.15259474,"Salt Lake","Utah",1404,NA,"Uni"
"62","Arby's","1.01","Salt Lake City","Salt Lake City_Ap-13",40.52876,-111.85544,NA,"SLV-13-004",NA,-6,"24-04-13 10:13",2013,"spring","april",NA,-118.4384378,-16.10193285,0.044651943,0.003919258,"SPATIAL","p58",10.377025,"Salt Lake","Utah",1408,NA,"Uni"
"63","Magna Public Library","1.01","Salt Lake City","Salt Lake City_Ap-13",40.71161,-112.1047,NA,"SLV-13-036",NA,-6,"24-04-13 10:14",2013,"spring","april",NA,-97.3143479,-11.49999722,0.028864287,0.025832281,"SPATIAL","p58",-5.31437014,"Salt Lake","Utah",1376,NA,"Uni"
"64","Subway","1.01","Salt Lake City","Salt Lake City_Ap-13",40.60886,-111.79799,NA,"SLV-13-095",NA,-6,"24-04-13 10:15",2013,"spring","april",NA,-121.5608357,-16.17070779,0.011690342,0.020185041,"SPATIAL","p58",7.80482662,"Salt Lake","Utah",1519,NA,"Uni"
"65","Draper City Park","1.01","Salt Lake City","Salt Lake City_Ap-13",40.52407,-111.85374,NA,"SLV-13-005",NA,-6,"24-04-13 10:20",2013,"spring","april",NA,-118.698862,-16.19797073,0.095116941,0.015977578,"SPATIAL","p58",10.88490384,"Salt Lake","Utah",1408,NA,"Uni"
"66","McDonalds","1.01","Salt Lake City","Salt Lake City_Ap-13",40.6956,-112.09211,NA,"SLV-13-037",NA,-6,"24-04-13 10:20",2013,"spring","april",NA,-115.0736216,-14.84261221,0.126697863,0.009774802,"SPATIAL","p58",3.66727608,"Salt Lake","Utah",1320,NA,"Uni"
"67","Trolley Square Mall","1.01","Salt Lake City","Salt Lake City_Ap-13",40.75737,-111.8715,NA,"SLV-13-068",NA,-6,"24-04-13 10:20",2013,"spring","april",NA,-121.2456168,-16.13384615,0.02807173,0.019273429,"SPATIAL","p58",7.8251524,"Salt Lake","Utah",1317,NA,"Uni"
"68","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.69617,-112.06352,NA,"SLV-13-038",NA,-6,"24-04-13 10:24",2013,"spring","april",NA,-97.22214382,-11.49798265,0.147342732,0.04445729,"SPATIAL","p58",-5.23828262,"Salt Lake","Utah",1309,NA,"Uni"
"69","Chevron","1.01","Salt Lake City","Salt Lake City_Ap-13",40.76455,-111.87177,NA,"SLV-13-069",NA,-6,"24-04-13 10:25",2013,"spring","april",NA,-122.0436338,-16.36528111,0.051443751,0.009127738,"SPATIAL","p58",8.87861508,"Salt Lake","Utah",1375,NA,"Uni"
"70","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.68161,-112.04436,NA,"SLV-13-039",NA,-6,"24-04-13 10:30",2013,"spring","april",NA,-131.8918484,-17.48884957,0.115255508,0.027507343,"SPATIAL","p58",8.01894816,"Salt Lake","Utah",1377,NA,"Uni"
"71","Smiths","1.01","Salt Lake City","Salt Lake City_Ap-13",40.76989,-111.86607,NA,"SLV-13-070",NA,-6,"24-04-13 10:30",2013,"spring","april",NA,-122.0381251,-16.36302587,0.086296234,0.023362433,"SPATIAL","p58",8.86608186,"Salt Lake","Utah",1375,NA,"Uni"
"72","Prostop","1.01","Salt Lake City","Salt Lake City_Ap-13",40.49896,-111.88444,NA,"SLV-13-006",NA,-6,"24-04-13 10:31",2013,"spring","april",NA,-118.7232242,-16.13410721,0.069677498,0.017888379,"SPATIAL","p58",10.34963348,"Salt Lake","Utah",1460,NA,"Uni"
"73","Coffee Shop","1.01","Salt Lake City","Salt Lake City_Ap-13",40.7739,-111.87789,NA,"SLV-13-071",NA,-6,"24-04-13 10:35",2013,"spring","april",NA,-122.1441973,-16.36555128,0.095054556,0.017825425,"SPATIAL","p58",8.78021294,"Salt Lake","Utah",1375,NA,"Uni"
"74","Storm Mtn Park","1.01","Salt Lake City","Salt Lake City_Ap-13",40.54389,-111.8633,NA,"SLV-13-096",NA,-6,"24-04-13 10:35",2013,"spring","april",NA,-121.3744023,-16.10273161,0.103459995,0.005467883,"SPATIAL","p58",7.44745058,"Salt Lake","Utah",1340,NA,"Uni"
"75","Holiday","1.01","Salt Lake City","Salt Lake City_Ap-13",40.65275,-112.02541,NA,"SLV-13-040",NA,-6,"24-04-13 10:36",2013,"spring","april",NA,-121.5917215,-16.03614139,0.077614758,0.020145396,"SPATIAL","p58",6.69740962,"Salt Lake","Utah",1417,NA,"Uni"
"76","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.48592,-111.88457,NA,"SLV-13-007",NA,-6,"24-04-13 10:37",2013,"spring","april",NA,-121.7567695,-16.18821007,0.056198359,0.009260137,"SPATIAL","p58",7.74891106,"Salt Lake","Utah",1460,NA,"Uni"
"77","Maverick","1.01","Salt Lake City","Salt Lake City_Ap-13",40.65366,-112.02544,NA,"SLV-13-041",NA,-6,"24-04-13 10:39",2013,"spring","april",NA,-122.2801549,-16.14189825,0.282898284,0.021019515,"SPATIAL","p58",6.8550311,"Salt Lake","Utah",1417,NA,"Uni"
"78","Shell","1.01","Salt Lake City","Salt Lake City_Ap-13",40.55836,-111.87167,NA,"SLV-13-097",NA,-6,"24-04-13 10:40",2013,"spring","april",NA,-121.8079325,-16.20514084,0.084195542,0.024308344,"SPATIAL","p58",7.83319422,"Salt Lake","Utah",1412,NA,"Uni"
"79","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.65251,-112.00244,NA,"SLV-13-042",NA,-6,"24-04-13 10:43",2013,"spring","april",NA,-121.4905314,-16.08272663,0.19443603,0.025533287,"SPATIAL","p58",7.17128164,"Salt Lake","Utah",1382,NA,"Uni"
"80","Spring View Farms Trail","1.01","Salt Lake City","Salt Lake City_Ap-13",40.48642,-111.92639,NA,"SLV-13-008",NA,-6,"24-04-13 10:46",2013,"spring","april",NA,-120.9881759,-16.19593087,0.034898471,0.006592577,"SPATIAL","p58",8.57927106,"Salt Lake","Utah",1353,NA,"Uni"
"81","Arby's","1.01","Salt Lake City","Salt Lake City_Ap-13",40.56525,-111.85259,NA,"SLV-13-098",NA,-6,"24-04-13 10:49",2013,"spring","april",NA,-121.5223647,-16.30270576,0.06942659,0.02161274,"SPATIAL","p58",8.89928138,"Salt Lake","Utah",1446,NA,"Uni"
"82","Shell","1.01","Salt Lake City","Salt Lake City_Ap-13",40.68253,-111.98697,NA,"SLV-13-043",NA,-6,"24-04-13 10:52",2013,"spring","april",NA,-121.1000022,-15.9135405,0.034346015,0.019548026,"SPATIAL","p58",6.1866984,"Salt Lake","Utah",1338,NA,"Uni"
"83","Shilo Inn","1.01","Salt Lake City","Salt Lake City_Ap-13",40.76474,-111.89454,NA,"SLV-13-072",NA,-6,"24-04-13 10:55",2013,"spring","april",NA,-122.4182603,-16.55274439,0.053338839,0.019512564,"SPATIAL","p58",10.00369482,"Salt Lake","Utah",1323,NA,"Uni"
"84","KFC","1.01","Salt Lake City","Salt Lake City_Ap-13",40.69633,-111.98285,NA,"SLV-13-044",NA,-6,"24-04-13 10:56",2013,"spring","april",NA,-121.5763074,-16.07118937,0.108168767,0.008648153,"SPATIAL","p58",6.99320756,"Salt Lake","Utah",1301,NA,"Uni"
"85","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.50505,-111.89738,NA,"SLV-13-009",NA,-6,"24-04-13 11:00",2013,"spring","april",NA,-121.6257718,-16.24970611,0.240484805,0.026929353,"SPATIAL","p58",8.37187708,"Salt Lake","Utah",1357,NA,"Uni"
"86","Wendy's","1.01","Salt Lake City","Salt Lake City_Ap-13",40.69631,-111.96834,NA,"SLV-13-045",NA,-6,"24-04-13 11:00",2013,"spring","april",NA,-121.655857,-16.01602726,0.043828558,0.032866039,"SPATIAL","p58",6.47236108,"Salt Lake","Utah",1301,NA,"Uni"
"87","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.58088,-111.82861,NA,"SLV-13-099",NA,-6,"24-04-13 11:03",2013,"spring","april",NA,-121.6844619,-16.09271069,0.0601278,0.029331791,"SPATIAL","p58",7.05722362,"Salt Lake","Utah",1463,NA,"Uni"
"88","Koiser's BBQ","1.01","Salt Lake City","Salt Lake City_Ap-13",40.74821,-111.90008,NA,"SLV-13-073",NA,-6,"24-04-13 11:05",2013,"spring","april",NA,-122.2499134,-16.38410248,0.022862117,0.016696493,"SPATIAL","p58",8.82290644,"Salt Lake","Utah",1291,NA,"Uni"
"89","Chevron","1.01","Salt Lake City","Salt Lake City_Ap-13",40.58095,-111.85268,NA,"SLV-13-100",NA,-6,"24-04-13 11:07",2013,"spring","april",NA,-121.6636836,-16.07159818,0.079467377,0.02954289,"SPATIAL","p58",6.90910184,"Salt Lake","Utah",1453,NA,"Uni"
"90","Holiday","1.01","Salt Lake City","Salt Lake City_Ap-13",40.50714,-111.98578,NA,"SLV-13-010",NA,-6,"24-04-13 11:09",2013,"spring","april",NA,-111.8863378,-14.36196035,0.112476169,0.021802174,"SPATIAL","p58",3.009345,"Salt Lake","Utah",1433,NA,"Uni"
"91","Holiday","1.01","Salt Lake City","Salt Lake City_Ap-13",40.65249,-111.9677,NA,"SLV-13-046",NA,-6,"24-04-13 11:09",2013,"spring","april",NA,-123.9440434,-16.52056807,0.062173921,0.039380007,"SPATIAL","p58",8.22050116,"Salt Lake","Utah",1358,NA,"Uni"
"92","Holiday","1.01","Salt Lake City","Salt Lake City_Ap-13",40.63899,-111.96679,NA,"SLV-13-047",NA,-6,"24-04-13 11:13",2013,"spring","april",NA,-124.0072444,-16.59878673,0.054434701,0.023140625,"SPATIAL","p58",8.78304944,"Salt Lake","Utah",1379,NA,"Uni"
"93","Seven Eleven","1.01","Salt Lake City","Salt Lake City_Ap-13",40.69951,-111.89931,NA,"SLV-13-074",NA,-6,"24-04-13 11:15",2013,"spring","april",NA,-121.9072575,-16.33570833,0.163606539,0.02461543,"SPATIAL","p58",8.77840914,"Salt Lake","Utah",1307,NA,"Uni"
"94","Burger King","1.01","Salt Lake City","Salt Lake City_Ap-13",40.58852,-111.89242,NA,"SLV-13-101",NA,-6,"24-04-13 11:16",2013,"spring","april",NA,-121.7891139,-16.14600846,0.140750519,0.041010001,"SPATIAL","p58",7.37895378,"Salt Lake","Utah",1350,NA,"Uni"
