Site_Name,Cluster_ID,Cluster_Location,Cluster_Location_Time,Cluster_State,Lat,Long,Elevation_mabsl,Site_Comments,Sample_ID,Start_Time_Zone,Collection_Time_Zone,Collection_Date,Year,Season,Month,Sample_Comments,d2H,d18O,d2H_Analytical_SD,d18O_Analytical_SD,WI_Analysis_Source,Project_ID,Modality
Draper,NC,NC,NC,NC,40.48665,-111.92691,1341,,40,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-124.41,-16.48,,,Tipple,Tipple,NC
Bluffdale,NC,NC,NC,NC,40.49048,-111.95137,1371,,41,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.81,-16.03,,,Tipple,Tipple,NC
Draper,NC,NC,NC,NC,40.49086,-111.87235,1455,,39,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.02,-16.44,,,Tipple,Tipple,NC
Riverton,NC,NC,NC,NC,40.51699,-111.96032,1381,,42,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-113.26,-14.16,,,Tipple,Tipple,NC
Draper,NC,NC,NC,NC,40.52439,-111.85413,1383,,38,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-119.2,-15.83,,,Tipple,Tipple,NC
Sandy,NC,NC,NC,NC,40.54467,-111.84183,1457,,37,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.73,-16.15,,,Tipple,Tipple,NC
South Jordan,NC,NC,NC,NC,40.55154,-111.94126,1359,,43,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-121.81,-16.02,,,Tipple,Tipple,NC
South Jordan,NC,NC,NC,NC,40.56427,-111.98666,1435,,44,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.67,-16.42,,,Tipple,Tipple,NC
West Jordan,NC,NC,NC,NC,40.60802,-111.94479,1342,,46,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-123.21,-15.99,,,Tipple,Tipple,NC
West Jordan,NC,NC,NC,NC,40.60892,-111.98609,1396,,45,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.6,-15.92,,,Tipple,Tipple,NC
Midvale,NC,NC,NC,NC,40.61374,-111.90334,1335,,47,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-119.4,-15.76,,,Tipple,Tipple,NC
Midvale,NC,NC,NC,NC,40.61859,-111.87392,1351,,48,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-122.88,-15.88,,,Tipple,Tipple,NC
Cottonwood Heights,NC,NC,NC,NC,40.61903,-111.78969,1499,,36,,,29-06-12,2012,summer,june,"NC because although it is spatially clustered (1-SLC_Area), isn’t temporarily. Not used for analysis.",-125.58,-16.31,,,Tipple,Tipple,NC
